Total processing time: 51.30168104171753s
Total memory used: 1344708608 bytes
files deleted
         25673469 function calls (24553892 primitive calls) in 25.930 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000   54.941    7.849 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:1160(__iter__)
        2    0.000    0.000   51.847   25.924 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:1115(join)
        2    0.000    0.000   51.847   25.924 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:1153(_wait_for_tstate_lock)
        7    0.000    0.000   51.313    7.330 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/concurrent/futures/_base.py:199(as_completed)
    18/10    0.000    0.000   28.674    2.867 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/contextlib.py:141(__exit__)
     45/4    0.000    0.000   26.289    6.572 {built-in method builtins.next}
     18/9    0.000    0.000   25.929    2.881 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:323(wait)
     12/3    0.000    0.000   25.929    8.643 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:637(wait)
      2/1    0.000    0.000   25.929   25.929 /data/lhyman6/OCR/scripts/ocr_measure.py:47(main)
        1    0.000    0.000   25.928   25.928 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000   25.928   25.928 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/concurrent/futures/thread.py:219(shutdown)
      6/1    0.000    0.000   25.918   25.918 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/concurrent/futures/thread.py:53(run)
      6/1    0.000    0.000   25.918   25.918 /data/lhyman6/OCR/scripts/ocr_measure.py:17(perform_ocr)
      6/1    0.003    0.000   25.912   25.912 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:410(image_to_string)
      6/1    0.000    0.000   25.909   25.909 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:426(<lambda>)
      6/1    0.000    0.000   25.909   25.909 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:267(run_and_get_output)
      6/3    0.000    0.000   13.335    4.445 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:229(run_tesseract)
