Total processing time: 25.418890476226807s
Total memory used: 842268672 bytes
files deleted
         25672546 function calls (25672262 primitive calls) in 25.428 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/3    0.000    0.000   27.093    9.031 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:637(wait)
      4/3    0.010    0.002   26.457    8.819 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:323(wait)
      2/1    0.000    0.000   25.424   25.424 /data/lhyman6/OCR/scripts/measure_ocr_mono.py:44(main)
        6    0.000    0.000   25.420    4.237 /data/lhyman6/OCR/scripts/measure_ocr_mono.py:14(perform_ocr)
        6    0.000    0.000   25.409    4.235 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:410(image_to_string)
        6    0.000    0.000   25.409    4.235 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:426(<lambda>)
        6    0.000    0.000   25.409    4.235 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:267(run_and_get_output)
    45/38    0.000    0.000   25.397    0.668 {built-in method builtins.next}
       18    0.000    0.000   16.437    0.913 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/contextlib.py:132(__enter__)
        6    0.000    0.000   15.315    2.553 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:229(run_tesseract)
       12    0.000    0.000   15.304    1.275 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:123(timeout_manager)
        6    0.000    0.000   15.304    2.551 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:1165(communicate)
        6    0.000    0.000   15.304    2.551 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:2062(_communicate)
       12    0.000    0.000   15.302    1.275 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/selectors.py:402(select)
       12   15.302    1.275   15.302    1.275 {method 'poll' of 'select.poll' objects}
       12    0.000    0.000   10.093    0.841 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:190(save)
       18    0.000    0.000    8.961    0.498 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/contextlib.py:141(__exit__)
        6    0.001    0.000    8.961    1.493 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:159(cleanup)
